job_id,job_title,company_name,industry,job_location,employment_type,experience_required_years,salary_min,salary_max,skills_required,education_required,posted_date,scrape_date,job_source
1,Business Analyst,Persistent Systems,EdTech,Jaipur,Part-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,01-01-2020,01-02-2020,Freelancer
2,Cloud Solutions Architect,EY,Telecom,Toronto,Part-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,02-01-2020,02-02-2020,Company Website
3,Recruitment Executive,Persistent Systems,Cybersecurity,Nagpur,Internship,10,30000,70000,"Recruitment, HR Policies, Payroll, Communication, Employee Engagement",Bachelor's in HR / Management / Psychology,03-01-2020,03-02-2020,Company Website
4,QA Analyst,Zomato,IT Services,Kochi,Full-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,04-01-2020,04-02-2020,Glassdoor
5,Data Analyst,PwC,Data & Analytics,Gurgaon,Part-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,06-01-2020,06-02-2020,Company Website
6,Data Scientist,Birlasoft,IT Services,Sydney,Full-time,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,07-01-2020,07-02-2020,Glassdoor
7,IT Support Specialist,Mphasis,Cloud Computing,Hyderabad,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,08-01-2020,08-02-2020,SimplyHired
8,Prompt Engineer,Accenture,Logistics & Supply Chain,Jaipur,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,09-01-2020,09-02-2020,Company Website
9,Test Engineer,Persistent Systems,Financial Services,Nagpur,Contract,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,10-01-2020,10-02-2020,SimplyHired
10,Frontend Developer,Zomato,Cloud Computing,Jaipur,Internship,2,40000,90000,"Excel, SQL, Power BI, Python, Data Analysis, Visualization",Bachelor's in Computer Science / IT / Statistics,11-01-2020,11-02-2020,CareerBuilder
